,rowid,kepid,koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,predicted
37,38,11138155,CANDIDATE,4.959319244,172.2585292,0.831,2.22739,9800.0,12.21,1103.0,349.4,696.5,5712.0,4.359,1.082,292.16705,48.727589,15.263,0
58,59,11818800,CANDIDATE,40.4195037,173.56468999999998,0.9109999999999999,3.362,6260.0,7.51,467.0,11.29,36.9,5446.0,4.507,0.7809999999999999,294.31686,50.080231,15.487,0
62,63,11918099,CANDIDATE,7.240661200000001,137.75545,1.198,0.5579999999999999,556.0,19.45,734.0,68.63,13.7,5005.0,4.595,0.765,293.83331,50.23035,15.334000000000001,1
63,64,9579641,CANDIDATE,3.43591631,132.6624,0.624,3.133,23.2,0.55,1272.0,617.61,8.7,5779.0,4.3389999999999995,1.087,287.88732999999996,46.276241,12.790999999999999,1
72,73,3246984,CANDIDATE,1.626630225,169.820171,1.26,2.1145,1620.0,32.43,1547.0,1355.88,103.6,5735.0,4.41,0.973,294.36818999999997,38.31028,15.279000000000002,1
84,85,3115833,CANDIDATE,10.181583999999999,177.141891,0.92,3.5089,5740.0,7.73,812.0,102.91,183.6,5988.0,4.541,0.836,291.28195,38.241669,15.657,0
92,93,3453214,CANDIDATE,19.62034692,181.881819,0.45799999999999996,2.0038,21700.0,13.6,643.0,40.39,340.5,5710.0,4.492,0.905,293.81619,38.563568,15.562000000000001,0
94,95,3641726,CANDIDATE,9.02930689,177.20422,0.024,3.1449,1020.0,2.57,757.0,77.75,53.9,5349.0,4.526,0.82,290.33362,38.728229999999996,15.387,0
103,104,3940418,CANDIDATE,4.783002698,170.50843400000002,0.003,2.335,1010.0,2.5,886.0,145.48,70.6,5170.0,4.574,0.807,287.09398999999996,39.060719,15.119000000000002,0
112,113,4544670,CANDIDATE,34.84398644,172.633252,0.934,2.9315,4520.0,7.61,511.0,16.1,76.8,5509.0,4.482,0.871,285.92001,39.624828,15.684000000000001,0
122,123,5115978,CANDIDATE,1.0284365229999999,170.22858200000002,1.5734,1.8606,8100.0,72.77,1947.0,3400.48,89.6,6228.0,4.428,0.99,296.00699,40.295429,15.202,1
153,154,5792202,CANDIDATE,6.54626149,133.85963999999998,0.644,2.75,656.0,2.19,810.0,101.78,24.8,5251.0,4.581,0.8170000000000001,292.23676,41.085879999999996,15.855,0
165,166,6867155,CANDIDATE,235.99863990000003,208.399822,0.778,8.2284,20700.0,10.59,188.0,0.29,271.8,4245.0,4.627,0.657,293.00797,42.307201,15.172,0
171,172,6526710,CANDIDATE,39.74893077,172.854644,0.8809999999999999,7.3051,15200.0,14.21,552.0,21.87,561.1,6122.0,4.487,0.9640000000000001,293.17929,41.969238,15.344000000000001,1
183,184,6862328,CANDIDATE,119.0207044,222.236492,0.076,8.1405,7430.0,8.98,366.0,4.25,223.5,5453.0,4.342,1.062,291.58377,42.368159999999996,15.085,0
195,196,11869052,CANDIDATE,20.5452375,137.91394,0.95,2.517,219.0,2.41,742.0,71.57,18.5,5670.0,4.206,1.264,294.40192,50.172089,12.003,0
201,202,7135852,CANDIDATE,4.220965778,170.622433,0.705,3.0854,2260.0,2.62,595.0,29.68,157.8,3837.0,4.747,0.517,296.69394,42.62611,15.692,0
210,211,7678434,CANDIDATE,3.96996298,137.75447,0.836,1.1757,299.0,1.78,992.0,229.37,15.0,5121.0,4.457,0.888,290.39322000000004,43.363898999999996,15.193,0
215,216,7380537,CANDIDATE,2.6888992330000003,170.1020904,0.001,2.11275,37500.0,12.04,929.0,175.76,1011.6,4820.0,4.667,0.639,296.68307000000004,42.967869,15.765999999999998,0
229,230,8013419,CANDIDATE,12.73262407,176.939054,0.8109999999999999,2.2083,6470.0,4.87,432.0,8.22,210.5,3950.0,4.721,0.541,285.16747999999995,43.876339,15.75,0
230,231,8018547,CANDIDATE,83.92494032,236.76334,0.6579999999999999,6.7904,7960.0,4.78,226.0,0.62,182.1,3960.0,4.746,0.509,287.85239,43.897991,15.754000000000001,0
246,247,7938496,CANDIDATE,13.81020318,172.33533,0.7909999999999999,3.048,1310.0,4.56,833.0,113.75,46.2,5942.0,4.327,1.1420000000000001,281.96063,43.703109999999995,15.425,0
252,253,8552202,CANDIDATE,3.8866552239999996,169.73814,0.649,3.1646,582.0,1.87,1010.0,246.29,48.1,5662.0,4.61,0.738,288.72665,44.60751,15.370999999999999,0
268,269,9140402,CANDIDATE,2.494170338,170.852848,0.095,1.1221,864.0,2.42,1194.0,480.19,69.2,5569.0,4.566,0.8290000000000001,284.75943,45.599129,15.251,0
286,287,8951215,CANDIDATE,39.4759093,173.31207,0.938,2.968,1010.0,4.06,577.0,26.13,26.6,6225.0,4.45,1.031,291.20804,45.244389,15.229000000000001,0
303,304,9347899,CANDIDATE,9.61731426,142.47478999999998,0.331,3.8692,234.0,1.94,1010.0,246.13,18.2,6035.0,4.22,1.2570000000000001,294.02301,45.853081,15.237,0
311,312,9904059,CANDIDATE,102.9641952,158.07473000000002,0.922,15.735,1900.0,39.0,797.0,95.4,86.1,5047.0,3.0660000000000003,7.119,296.81772,46.781509,13.607999999999999,1
315,316,2860866,CANDIDATE,90.1240507,356.23415,0.698,11.649000000000001,3020.0,7.12,485.0,13.09,57.9,6520.0,4.375,1.215,293.22391,38.033581,14.96,0
317,318,10460629,CANDIDATE,856.6721150000001,228.44987999999998,0.1158,23.144000000000002,858.0,3.87,242.0,0.81,39.2,6449.0,4.232,1.3090000000000002,287.58679,47.600021000000005,13.997,1
318,319,10319385,CANDIDATE,0.689210173,133.28583999999998,0.154,1.6169,195.0,1.32,1943.0,3362.71,93.4,5630.0,4.505,0.9540000000000001,281.55118,47.469959,13.248,1
