rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
1,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.811,0,0,0,0,2.470613377,2.70E-08,-2.70E-08,0,,,0.818,0.001,-0.001,1.74319,0.00107,-0.00107,14230.9,4.20E+00,-4.20E+00,0.123871,5.10E-05,-7.10E-05,1.83538,0.00587,-0.00846,13.04,0.51,-5.10E-01,0.0354,,,84.41,,,1339,,,8.3977,0.0269,-0.0269,5820,78,-78,4.457,0.024,-0.024,0.964,0.038,-0.038,286.80847,49.316399,11.338
2,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1,0,1,0,0,2.204735417,4.30E-08,-4.30E-08,0,,,0.224,0.159,-0.216,3.88864,0.00203,-0.00203,6674.7,1.70E+00,-1.70E+00,0.075522,2.98E-04,-3.50E-04,0.37936,0.02846,-0.02633,16.1,0.81,-9.10E-01,0.0376,,,87.21,,,2048,,,4.602,0.345,-0.345,6440,76,-89,4.019,0.033,-0.027,1.952,0.099,-0.11,292.24728,47.969521,10.463
3,10748390,K00003.01,Kepler-3 b,CONFIRMED,CANDIDATE,0.913,0,0,0,0,4.887803076,4.66E-07,-4.66E-07,0,,,0.054,0.145,-0.054,2.36255,0.00466,-0.00466,4315.8,6.10E+00,-6.10E+00,0.057823,3.51E-04,-1.74E-04,3.69348,0.0202,-0.31849,4.82,0.17,-1.80E-01,0.053,,,89.82,,,800,,,16.7084,0.0914,-0.0914,4778,86,-95,4.591,0.015,-0.036,0.763,0.028,-0.028,297.70935,48.080853,9.174
4,3861595,K00004.01,,CANDIDATE,CANDIDATE,1,0,1,0,0,3.849371737,2.34E-06,-2.34E-06,0,,,0.915,0.02,-0.056,2.632,0.106,-0.106,1298.6,1.30E+01,-1.30E+01,0.039601,5.21E-04,-2.21E-03,0.22463,0.17327,-0.08789,12.94,1.8,-4.20E+00,0.0548,,,80.61,,,2034,,,5.6,2.2,-2.2,6244,126,-114,3.657,0.27,-0.09,2.992,0.416,-0.971,294.35654,38.94738,11.432
5,8554498,K00005.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,4.780327581,8.52E-07,-8.52E-07,0,,,0.952,0.001,-0.002,2.0253,0.0139,-0.0139,960.8,3.90E+00,-3.90E+00,0.036574,1.54E-04,-2.34E-04,0.3454,0.01415,-0.01687,7.14,0.52,-3.10E-01,0.059,,,82.68,,,1441,,,7.472,0.306,-0.306,5937,83,-65,4.012,0.03,-0.03,1.787,0.132,-0.076,289.73972,44.647419,11.665
6,3248033,K00006.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,1.334101467,1.66E-06,-1.66E-06,0,,,0.153,0.228,-0.153,2.1033,0.0318,-0.0318,120.8,3.30E+00,-3.30E+00,0.010106,2.45E-04,-1.69E-04,1.23138,0.10085,-0.29408,1.74,0.31,-3.70E-01,0.025,,,88.2,,,2169,,,4.875,0.399,-0.399,6178,111,-136,4.106,0.168,-0.112,1.58,0.277,-0.339,294.59955,38.366772,12.161
7,11853905,K00007.01,Kepler-4 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.213668926,1.09E-06,-1.09E-06,0,,,0.021,0.188,-0.021,3.98235,0.00911,-0.00911,727.8,2.50E+00,-2.50E+00,0.02447,1.40E-04,-5.50E-05,0.46728,0.00237,-0.03311,4.13,0.26,-2.30E-01,0.044,,,89.81,,,1515,,,6.3422,0.0322,-0.0322,5795,69,-77,4.101,0.033,-0.027,1.545,0.097,-0.087,285.61533,50.13575,12.211
8,5903312,K00008.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,1.16015259,8.68E-07,-8.68E-07,0,,,0.748,0.025,-0.515,1.3433,0.0195,-0.0195,170.2,4.10E+00,-4.10E+00,0.013013,1.04E-03,-1.01E-03,1.35385,2.31948,-0.16987,1.4,0.2,-1.20E-01,0.0213,,,80.6,,,1751,,,4.58,2,-2,5842,105,-117,4.433,0.072,-0.117,0.985,0.143,-0.083,298.66101,41.13789,12.45
9,11553706,K00009.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,3.719809197,9.39E-07,-9.39E-07,0,,,1.279,0.169,-0.078,3.5317,0.0105,-0.0105,2958.2,1.01E+01,-1.01E+01,0.340144,1.53E-01,-1.06E-01,0.05755,0.00536,-0.00267,87.21,16.61,-2.85E+01,0.0514,,,68.43,,,1873,,,3.479,0.324,-0.324,6284,160,-160,3.813,0.292,-0.097,2.348,0.447,-0.766,288.80377,49.530788,13.123
10,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,3.522498429,1.98E-07,-1.98E-07,0,,,0.631,0.007,-0.007,3.19843,0.00653,-0.00653,9145.7,6.60E+00,-6.60E+00,0.092086,1.41E-04,-1.77E-04,0.65374,0.01481,-0.01458,14.59,1.11,-1.11E+00,0.0473,,,85.2,,,1521,,,7.541,0.171,-0.171,6225,112,-137,4.169,0.055,-0.045,1.451,0.11,-0.11,281.28812,42.45108,13.563
